订单号,订单状态,支付时间,发货时间,确认收货时间,订单成交时间,承诺发货时间,商品名称,商品ID,商家编码-商品维度,商家编码-规格维度,商品规格,规格id,规格名称,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商品数量(件),商品单价(元),商品总价(元),用户实付金额(元),商家实收金额(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),拼多多优惠券(元),平台技术服务费(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),退款金额(元),退款原因,退款类型,售后状态,省,市,订单来源,是否直播间成交,是否直播间引导成交,是否门店自提,门店名称,支付方式,是否分期,分期期数,手续费承担方,是否预售,是否顺丰加价,是否抽奖或0元试用,是否社区团购,是否无痕发货,是否节能补贴,快递公司,快递单号,配送状态,集运类型
2705000103,已取消,2026-04-01 01:54:54,,,2026-04-01 01:23:27,2026-04-03,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,194.73,193.56,0.00,17.31,15.14,10.82,0.00,1.17,0.00,0.00,0.00,0.00,,,,四川省,成都,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,否,邮政快递,YT21776229770,,
2705000050,待发货,2026-04-01 03:29:25,2026-04-03 00:58:34,2026-04-08,2026-04-01 19:04:12,2026-04-03,有机红枣夹核桃500g,PD00007,SP00007,SKU015,500g袋装,SKU015,500g袋装,ST015,食品生鲜,坚果零食,红枣,夹心红枣,2,39.00,78.00,63.87,63.49,0.00,4.09,3.58,2.56,3.90,0.38,0.00,0.00,0.00,0.00,,,,江苏省,南京,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,顺丰速运,YT43701701889,派送中,
2705000069,已发货,2026-04-01 09:52:47,2026-04-03 02:02:50,2026-04-06,2026-04-01 19:59:18,2026-04-03,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,1,69.00,69.00,63.68,63.30,0.00,2.13,1.86,1.33,0.00,0.38,0.00,0.00,0.00,0.00,,,,辽宁省,沈阳,小程序,否,是,否,,多多支付,否,,,否,否,否,否,否,是,韵达快递,YT42032895742,运输中,
2705000201,已退款,2026-04-01 13:44:24,2026-04-03 17:25:27,2026-04-04,2026-04-01 23:07:10,2026-04-03,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,5,189.00,945.00,899.09,893.70,0.00,18.36,16.07,11.48,0.00,5.39,0.00,0.00,0.00,273.39,卖家发错尺码,退货退款,退款成功,河南省,郑州,APP-iOS,否,否,否,,支付宝,否,,,否,否,否,否,否,否,邮政快递,YT25241328670,运输中,集运
2705000246,已取消,2026-04-01 15:03:23,,,2026-04-01 01:34:27,2026-04-03,有机红枣夹核桃500g,PD00007,SP00007,SKU015,500g袋装,SKU015,500g袋装,ST015,食品生鲜,坚果零食,红枣,夹心红枣,5,39.00,195.00,140.30,139.46,0.00,17.98,15.73,11.24,9.75,0.84,0.00,0.00,0.00,0.00,,,,河南省,郑州,小程序,否,否,否,,花呗分期,否,12,,否,否,否,否,否,否,圆通速递,YT59341242845,,
2705000309,待发货,2026-04-01 15:05:08,2026-04-01 22:31:38,2026-04-02,2026-04-01 14:31:08,2026-04-03,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,99.89,99.29,0.00,7.64,6.69,4.78,0.00,0.60,0.00,0.00,0.00,0.00,,,,浙江省,杭州,H5,是,否,否,,支付宝,否,12,,否,否,否,否,否,否,申通快递,YT62147520183,运输中,
2705000192,已取消,2026-04-01 15:52:20,,,2026-04-01 16:41:59,2026-04-03,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,45.00,45.00,34.51,34.16,0.00,3.30,2.88,2.06,2.25,0.35,0.00,0.00,0.00,0.00,,,,北京市,北京,APP-Android,否,否,否,,支付宝,否,,,否,否,是,否,否,否,极兔速递,YT19316976272,,
2705000486,待发货,2026-04-01 16:46:12,2026-04-02 08:42:45,2026-04-08,2026-04-01 04:01:26,2026-04-03,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,21.74,21.61,0.00,2.66,2.33,1.67,1.50,0.13,0.00,0.00,0.00,15.93,物流太慢,退货退款,退款成功,天津市,天津,APP-Android,否,否,否,,花呗分期,否,,,是,否,否,否,否,否,圆通速递,YT95645688857,运输中,集运
2705000466,已完成,2026-04-01 19:46:41,2026-04-03 08:10:30,2026-04-08,2026-04-01 20:04:28,2026-04-03,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,3,69.00,207.00,146.18,145.30,0.00,20.19,17.66,12.62,10.35,0.88,0.00,0.00,0.00,0.00,,,,福建省,厦门,APP-Android,否,否,否,,支付宝,否,,,是,否,否,否,否,否,极兔速递,YT66922458729,运输中,
2705000095,已取消,2026-04-01 19:54:54,,,2026-04-01 12:51:32,2026-04-03,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,2,29.90,59.80,51.27,50.96,0.00,3.41,2.99,2.13,0.00,0.31,0.00,0.00,0.00,0.00,,,,重庆市,重庆,APP-Android,是,否,否,,支付宝,否,,,是,否,否,否,否,否,极兔速递,YT11488123567,,
2705000173,已签收,2026-04-02 00:18:00,2026-04-05 06:16:32,2026-04-06,2026-04-02 18:20:16,2026-04-04,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,42.69,42.43,0.00,5.34,4.68,3.34,2.95,0.26,0.00,0.00,0.00,0.00,,,,河南省,郑州,网页,是,否,否,,支付宝,否,,,否,否,否,否,否,否,韵达快递,YT70211869125,运输中,
