商户订单号,业务描述,收入金额（+元）,收入金额(元),收入金额,支出金额（-元）,支出金额(元),支出金额,发生时间,账务类型,发生金额,金额(元),金额
2705000103,订单结算收入,193.56,193.56,193.56,0.00,0.00,0.00,2026-04-01 12:15:51,订单结算,193.56,193.56,193.56
2705000103,平台技术服务费,0.00,0.00,0.00,1.17,1.17,1.17,2026-04-02 04:11:31,费用扣除,-1.17,1.17,1.17
2705000050,订单结算收入,63.49,63.49,63.49,0.00,0.00,0.00,2026-04-01 15:31:58,订单结算,63.49,63.49,63.49
2705000050,平台技术服务费,0.00,0.00,0.00,0.38,0.38,0.38,2026-04-02 19:03:30,费用扣除,-0.38,0.38,0.38
2705000069,订单结算收入,63.30,63.30,63.30,0.00,0.00,0.00,2026-04-01 19:18:20,订单结算,63.30,63.30,63.30
2705000069,平台技术服务费,0.00,0.00,0.00,0.38,0.38,0.38,2026-04-02 09:40:34,费用扣除,-0.38,0.38,0.38
2705000201,订单结算收入,893.70,893.70,893.70,0.00,0.00,0.00,2026-04-01 03:38:29,订单结算,893.70,893.70,893.70
2705000201,平台技术服务费,0.00,0.00,0.00,5.39,5.39,5.39,2026-04-02 21:00:45,费用扣除,-5.39,5.39,5.39
2705000246,订单结算收入,139.46,139.46,139.46,0.00,0.00,0.00,2026-04-01 07:57:42,订单结算,139.46,139.46,139.46
2705000246,平台技术服务费,0.00,0.00,0.00,0.84,0.84,0.84,2026-04-02 17:28:20,费用扣除,-0.84,0.84,0.84
2705000309,订单结算收入,99.29,99.29,99.29,0.00,0.00,0.00,2026-04-01 18:20:36,订单结算,99.29,99.29,99.29
2705000309,平台技术服务费,0.00,0.00,0.00,0.60,0.60,0.60,2026-04-02 09:54:35,费用扣除,-0.60,0.60,0.60
2705000192,订单结算收入,34.16,34.16,34.16,0.00,0.00,0.00,2026-04-01 02:09:20,订单结算,34.16,34.16,34.16
2705000192,平台技术服务费,0.00,0.00,0.00,0.35,0.35,0.35,2026-04-02 16:33:02,费用扣除,-0.35,0.35,0.35
2705000486,订单结算收入,21.61,21.61,21.61,0.00,0.00,0.00,2026-04-01 02:15:14,订单结算,21.61,21.61,21.61
2705000486,平台技术服务费,0.00,0.00,0.00,0.13,0.13,0.13,2026-04-02 18:24:36,费用扣除,-0.13,0.13,0.13
2705000466,订单结算收入,145.30,145.30,145.30,0.00,0.00,0.00,2026-04-01 06:31:39,订单结算,145.30,145.30,145.30
2705000466,平台技术服务费,0.00,0.00,0.00,0.88,0.88,0.88,2026-04-02 11:51:50,费用扣除,-0.88,0.88,0.88
2705000095,订单结算收入,50.96,50.96,50.96,0.00,0.00,0.00,2026-04-01 15:32:19,订单结算,50.96,50.96,50.96
2705000095,平台技术服务费,0.00,0.00,0.00,0.31,0.31,0.31,2026-04-02 04:13:12,费用扣除,-0.31,0.31,0.31
2705000050,004延迟发货罚款,0.00,0.00,0.00,44.43,44.43,44.43,2026-04-01 14:08:03,罚款扣款,-44.43,44.43,44.43
2705000173,订单结算收入,42.43,42.43,42.43,0.00,0.00,0.00,2026-04-02 20:32:12,订单结算,42.43,42.43,42.43
2705000173,平台技术服务费,0.00,0.00,0.00,0.26,0.26,0.26,2026-04-03 03:13:21,费用扣除,-0.26,0.26,0.26
2705000467,订单结算收入,92.62,92.62,92.62,0.00,0.00,0.00,2026-04-02 02:45:55,订单结算,92.62,92.62,92.62
2705000467,平台技术服务费,0.00,0.00,0.00,0.56,0.56,0.56,2026-04-03 01:17:44,费用扣除,-0.56,0.56,0.56
